model,dim,batch,concurrency,throughput,p50_ms,p99_ms,gpu_util,gpu_mem_mb
BAAI/bge-small-en-v1.5,384,1,1,71,12.3,46.8,3,
BAAI/bge-small-en-v1.5,384,1,8,253,25.2,71.7,5,
BAAI/bge-small-en-v1.5,384,1,32,283,88.7,221.4,7,
BAAI/bge-small-en-v1.5,384,8,1,249,28.4,63.7,4,
BAAI/bge-small-en-v1.5,384,8,8,933,60.4,120.2,8,
BAAI/bge-small-en-v1.5,384,8,32,1175,166.8,372.4,9,
BAAI/bge-small-en-v1.5,384,32,1,446,69.1,93.4,5,
BAAI/bge-small-en-v1.5,384,32,8,1247,173.9,387.7,11,
BAAI/bge-small-en-v1.5,384,32,32,1591,478.0,1637.1,13,
BAAI/bge-small-en-v1.5,384,64,1,449,133.2,182.5,4,
BAAI/bge-small-en-v1.5,384,64,8,1437,353.8,535.9,13,
BAAI/bge-small-en-v1.5,384,64,32,1413,1011.2,3856.1,13,
BAAI/bge-base-en-v1.5,768,1,1,64,13.5,52.3,7,
BAAI/bge-base-en-v1.5,768,1,8,208,30.9,76.2,15,
BAAI/bge-base-en-v1.5,768,1,32,309,68.2,195.7,9,
BAAI/bge-base-en-v1.5,768,8,1,202,36.1,73.4,7,
BAAI/bge-base-en-v1.5,768,8,8,767,79.0,140.7,18,
BAAI/bge-base-en-v1.5,768,8,32,970,227.2,415.3,15,
BAAI/bge-base-en-v1.5,768,32,1,307,100.7,148.5,8,
BAAI/bge-base-en-v1.5,768,32,8,987,235.4,476.8,22,
BAAI/bge-base-en-v1.5,768,32,32,1175,678.9,1754.3,27,
BAAI/bge-base-en-v1.5,768,64,1,348,178.0,239.0,8,
BAAI/bge-base-en-v1.5,768,64,8,1009,493.6,802.9,20,
BAAI/bge-base-en-v1.5,768,64,32,1108,1382.3,4047.5,23,
BAAI/bge-large-en-v1.5,1024,1,1,52,17.5,52.8,16,
BAAI/bge-large-en-v1.5,1024,1,8,167,39.5,84.8,22,
BAAI/bge-large-en-v1.5,1024,1,32,262,93.8,238.7,16,
BAAI/bge-large-en-v1.5,1024,8,1,149,48.5,105.4,18,
BAAI/bge-large-en-v1.5,1024,8,8,667,82.4,179.6,54,
BAAI/bge-large-en-v1.5,1024,8,32,835,214.8,1168.9,62,
BAAI/bge-large-en-v1.5,1024,32,1,216,140.9,198.5,19,
BAAI/bge-large-en-v1.5,1024,32,8,734,313.9,700.1,62,
BAAI/bge-large-en-v1.5,1024,32,32,794,690.7,4153.6,63,
BAAI/bge-large-en-v1.5,1024,64,1,268,238.9,289.6,22,
BAAI/bge-large-en-v1.5,1024,64,8,719,631.7,1683.1,56,
BAAI/bge-large-en-v1.5,1024,64,32,752,2059.1,10537.8,60,
